Instance,Our_Vehicles,BKS_Vehicles,Vehicle_Gap(%),Our_Distance,BKS_Distance,Distance_Gap(%),Time(s)
LRC1_10_9.sol,74,52.0,42.30769230769231,45529.72,40934.27,11.22641249007251,3242.38
LRC1_2_1.sol,0,19.0,-100.0,3710.67,3606.06,2.9009500673865696,2702.65
LRC1_2_10.sol,14,12.0,16.666666666666664,2889.58,2928.9,-1.3424835262385253,2704.37
LRC1_2_2.sol,19,15.0,26.666666666666668,3367.22,3671.02,-8.275629116703264,2703.16
LRC1_2_3.sol,16,13.0,23.07692307692308,3229.3,3154.92,2.357587514104957,2704.89
LRC1_2_4.sol,12,10.0,20.0,2606.72,2631.82,-0.953712639922197,2707.17
LRC1_2_5.sol,0,16.0,-100.0,3812.49,3715.81,2.6018553155301225,2703.57
LRC1_2_6.sol,19,16.0,18.75,3520.09,3572.16,-1.4576614709307454,2703.19
LRC1_2_7.sol,17,14.0,21.428571428571427,3425.17,3666.34,-6.57794967187986,2703.11
LRC1_2_8.sol,16,13.0,23.07692307692308,3183.81,3145.74,1.2102080909420412,2705.92
LRC1_2_9.sol,16,13.0,23.07692307692308,3114.03,3157.34,-1.3717242995686223,2703.37
LRC1_4_1.sol,37,36.0,2.7777777777777777,9279.05,9124.52,1.6935685383998151,2719.34
LRC1_4_10.sol,29,23.0,26.08695652173913,7409.93,7064.36,4.891738246635232,2737.92
LRC1_4_2.sol,0,31.0,-100.0,8219.21,8346.06,-1.5198788410339774,2717.06
LRC1_4_3.sol,31,24.0,29.166666666666668,8003.79,7805.16,2.544854942115218,2724.52
LRC1_4_4.sol,22,19.0,15.789473684210526,6245.66,5803.31,7.6223741278683965,2754.1
LRC1_4_5.sol,37,32.0,15.625,8999.57,8847.4,1.7199403214503706,2716.48
LRC1_4_6.sol,36,30.0,20.0,8553.63,8394.47,1.896010111418587,2726.93
LRC1_4_7.sol,34,28.0,21.428571428571427,8608.22,8037.87,7.095785326212037,2725.52
LRC1_4_8.sol,32,26.0,23.07692307692308,8015.97,7930.15,1.0821989495785151,2728.52
LRC1_4_9.sol,31,25.0,24.0,8277.75,8004.24,3.4170639561032683,2729.87
LRC1_6_1.sol,60,52.0,15.384615384615383,19487.36,18288.9,6.552936480597515,2762.55
LRC1_6_10.sol,39,29.0,34.48275862068966,14905.25,13963.66,6.743146137903675,2834.09
LRC1_6_2.sol,52,43.0,20.930232558139537,16970.81,16515.41,2.7574247324165824,2753.24
LRC1_6_3.sol,45,36.0,25.0,16134.83,13975.98,15.4468595404401,2789.88
LRC1_6_4.sol,31,25.0,24.0,12673.92,10800.44,17.346330334690062,2919.49
LRC1_6_5.sol,56,45.0,24.444444444444443,18209.29,17463.94,4.26793724669234,2816.87
LRC1_6_6.sol,53,41.0,29.268292682926827,18456.22,19025.36,-2.9914808445148973,2770.22
LRC1_6_7.sol,49,37.0,32.432432432432435,16722.04,15914.85,5.071929675743099,2812.42
LRC1_6_8.sol,46,33.0,39.39393939393939,16710.5,15317.63,9.093247454077432,2811.19
LRC1_6_9.sol,43,33.0,30.303030303030305,16231.93,15344.64,5.782410014180853,2822.24
