Instance,Variant,Our_Vehicles,BKS_Vehicles,Vehicle_Gap,Our_Distance,BKS_Distance,Distance_Gap,Time
LRC2_6_8.sol,PDPTW,18,9.0,100.0,12452.45,13179.58,-5.5170953854371625,2974.88
LRC2_6_9.sol,PDPTW,20,8.0,150.0,15502.88,16309.78,-4.947338345458991,3012.9
LRC2_8_1.sol,PDPTW,37,20.0,85.0,28069.78,23074.22,21.649962598952413,3109.8
LRC2_8_10.sol,PDPTW,24,9.0,166.66666666666669,21227.62,19604.12,8.281422476499838,3645.3
LRC2_8_2.sol,PDPTW,33,17.0,94.11764705882352,24965.68,22220.95,12.351992151550672,3223.17
LRC2_8_3.sol,PDPTW,27,14.0,92.85714285714286,22525.43,20379.26,10.531147843444767,3765.16
LRC2_8_4.sol,PDPTW,20,11.0,81.81818181818183,20513.43,14711.8,39.43521526937561,5554.74
LRC2_8_5.sol,PDPTW,35,16.0,118.75,26247.65,23602.44,11.207358222285505,3251.91
LRC2_8_6.sol,PDPTW,31,15.0,106.66666666666669,25351.45,22591.26,12.217955085285205,3202.55
LRC2_8_7.sol,PDPTW,28,13.0,115.38461538461536,24916.95,25436.79,-2.043654093146188,3374.34
LRC2_8_8.sol,PDPTW,24,11.0,118.1818181818182,21330.59,22604.36,-5.635063324066687,3513.47
LRC2_8_9.sol,PDPTW,26,10.0,160.0,21985.89,22594.69,-2.694438383531703,3717.22
p01.sol,MDVRP,12,,,113.88,,,
p02.sol,MDVRP,7,,,88.42,,,
p03.sol,MDVRP,13,,,109.29,,,
p04.sol,MDVRP,15,,,519.62,,,
p05.sol,MDVRP,9,,,355.29,,,
p06.sol,MDVRP,16,,,411.13,,,
p07.sol,MDVRP,17,,,272.46,,,
p08.sol,MDVRP,25,,,2213.91,,,
p09.sol,MDVRP,26,,,988.78,,,
p10.sol,MDVRP,27,,,915.6,,,
p11.sol,MDVRP,27,,,794.91,,,
p12.sol,MDVRP,8,,,682.8,,,
p13.sol,MDVRP,8,,,682.8,,,
p14.sol,MDVRP,8,,,682.8,,,
p15.sol,MDVRP,16,,,682.8,,,
p16.sol,MDVRP,16,,,682.8,,,
p17.sol,MDVRP,16,,,682.8,,,
p18.sol,MDVRP,24,,,682.8,,,
p19.sol,MDVRP,24,,,682.8,,,
p20.sol,MDVRP,24,,,682.8,,,
p21.sol,MDVRP,36,,,682.8,,,
p22.sol,MDVRP,36,,,682.8,,,
p23.sol,MDVRP,36,,,682.8,,,
pr01.sol,MDVRP,4,,,187.55,,,10801.29
pr02.sol,MDVRP,9,,,387.26,,,10802.12
pr03.sol,MDVRP,11,,,390.74,,,10804.43
pr04.sol,MDVRP,15,,,745.29,,,10807.17
pr05.sol,MDVRP,21,,,681.95,,,10811.62
